city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Rotterdam,high,school,139,0.0,0.5179856115107914,0.007194244604316547,0.007194244604316547,171501.7302017212,0.07499208347861673,20.463241577148438
Sao Paulo,low,health,2184,0.0,0.005036630036630037,0.0,0.0,1073002.731194675,0.06383546020465523,6.842941761016846
Sao Paulo,low,school,852,0.0,0.025821596244131457,0.0,0.0,1051030.1530092955,0.06853160345675477,6.895042896270752
Sao Paulo,middle,health,5943,0.0,0.023893656402490325,0.0,0.0,1001187.931755159,0.06952950038872961,9.435770034790039
Sao Paulo,middle,school,4286,0.0,0.02589827344843677,0.0,0.0,1014390.5197753906,0.0735381354252408,9.784618377685547
Sao Paulo,high,health,28339,0.0,0.015420445322700167,0.0,0.0,910438.663520813,0.08781402838104976,28.41082763671875
Sao Paulo,high,school,11939,0.0,0.02001842700393668,0.0,0.0,876803.8860003576,0.09273245251226223,31.50798988342285
Sao Paulo,,health,455,0.0,0.006593406593406593,0.0,0.0,680531.3845806122,0.04228955145300849,
Sao Paulo,,school,639,0.0,0.006259780907668232,0.0,0.0,569797.3173585832,0.04238043049930498,
Shanghai,low,health,114,0.9824561403508771,0.3157894736842105,1.0,1.0,3171752.4379882812,0.18886459072033385,2.7383837699890137
Shanghai,low,school,65,1.0,0.3230769230769231,1.0,1.0,3025793.5610351562,0.1900791829169408,2.8245174884796143
Shanghai,middle,health,64,1.0,0.625,1.0,1.0,2441932.8654785156,0.25944702754283205,12.349658012390137
Shanghai,middle,school,42,0.9761904761904762,0.6428571428571429,0.9761904761904762,1.0,2267979.0780029297,0.25194727471999345,11.533448219299316
Shanghai,high,health,127,0.9291338582677166,0.7007874015748031,0.968503937007874,1.0,1792871.6657714844,0.2957562544421815,23.14595603942871
Shanghai,high,school,161,0.9503105590062112,0.7515527950310559,0.9503105590062112,0.9875776397515528,1489616.3184814453,0.31349814027806144,23.2589168548584
Shanghai,,health,36,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.9444444444444444,661313.9391615987,0.1888051819432376,
Shanghai,,school,37,0.7837837837837838,0.8918918918918919,0.7837837837837838,0.972972972972973,576617.609954834,0.19844687480745132,
Tokyo,low,health,35116,0.5751224513042488,0.1368891673311311,0.0,0.025031324752249687,926641.6011352539,0.10416922033678988,2.6270089149475098
Tokyo,low,school,13366,0.5923238066736496,0.16280113721382614,0.0,0.0321711806075116,942058.117515564,0.11044192946158762,2.6905040740966797
Tokyo,middle,health,1699,0.6085932901706886,0.17304296645085343,0.0,0.08652148322542672,565548.0445556641,0.11739720579474378,11.702740669250488
Tokyo,middle,school,940,0.648936170212766,0.17446808510638298,0.0,0.09574468085106383,559301.018119812,0.12639242946181084,11.64316463470459
Tokyo,high,health,1703,0.6259541984732825,0.22313564298297123,0.0,0.1315325895478567,587594.3097991943,0.14553420130139194,22.18691062927246
Tokyo,high,school,950,0.6842105263157895,0.2073684210526316,0.0,0.12631578947368421,565411.5408782959,0.15217948666536743,21.831918716430664
Tokyo,,health,1,0.0,1.0,0.0,0.0,139809.59930866957,0.13260441264364967,
